Aadith
Abadì
Abeles
Abenaim
Abeniacar
Abib
Abigdor
Aboaf
Abramson
Abravanel
Abulaffi
Abulaffia
Acco
Acher
Adagnia
Aderca
Ades
Adler
Aelion
Aghib
Ahrens
Ajar
Alatri
Alba
Albahari
Albaum
Albert
Albina
Albini
Alcalai
Alfaquain
Algranati
Alhaiquem Allalouf
Allan
Almagià
Almansi
Almansi Macchioro
Almeda
Alphandery
Alpron
Alt
Altarass
Altaress
Altberger
Alter
Alticheh
Amar
Ameriglio
Amati
Ambonetti
Ambron
Amì
Amman
Amy
Anau
Ancona
Andrè
Angel
Angeli
Angelini
Anguillara
Anticoli
Ara
Arbib
Archivolti
Arditti
Arditi
Ariani
Arias
Ariccia
Ariete
Arieti
Arnstein
Artom
Aruch
Ascarelli
Ascer
Aschenazi
Ascher
Ascoli
Ascoli Marchetti
Assajeas
Asseo
Astein
Asti
Astrologo
Attal
Attias
Aub
Avigdor
Auerbach
Awerbacir
Azankot
Azavei
Azavey
Azria
Azriel
Azzaria
Badalassi Orvieto
Baer
Bachi
Backschmiedt
Bagdalli
Bahorjudà
Baiona
Bak
Balachovsky
Ball
Ballanti
Balog
Banon
Banti
Baquis
Baracchi
Barchi
Barmè Mazloun
Baroccio
Baruch
Barzilai
Barzillon
Basevi
Basilea
Basola
Bassan
Behor
Bassani
Bassano
Bassi
Batò
Battino
Bauer
Beck
Bedarida
Bedussa
Beer
Behar
Beilinson
Belaise
Belforte
Belgrado
Belimbau
Belleli
Bellom
Belmonte
Bemporad
Benadì
Benaim
Benamozegh
Benarayo
Benedetti
Beniacar
Beniamin
Benigno
Benoliel
Bensillùn
Bensussan
Benusiglio
Benveniste
Benvenisti
Benzimrà
Benzouan
Beralià
Berer
Bergmann
Bergholz
Bermann
Bernardoni
Berni
Bernheimer
Bernstein
Bertel
Beruchel
Besso
Betrich
Betti
Bettinelli
Bettmann
Biach
Bianchini
Bienenfeld
Bigiavi
Bigio
Biks
Bingen
Bischof
Bises
Bisi Mantovani
Bisogni
Bissonn
Bivak
Blanes
Blaskopf
Blau
Blitz
Bloch
Blotzek
Blum
Blumberg
Blumenthal
Boaz
Bobek
Boccara
Boffi
Boghen
Boehm
Bolaffi
Bolaffio
Bollag
Bolle
Bologna
Bolosca
Baustein
Bonaventura
Bondì
Bonfiglioli
Bonomie
Bonucci
Boralevi
Borgetti
Borghi
Borlenghi
Borseti
Bows
Bracci
Brandenburg
Brandes
Brandi
Braeuer
Braun
Brauner
Braunschweig
Braunstein
Bravermann
Brecher
Breiner
Breinin
Bresner
Brill
Brisi
Brociner
Brok
Brod
Brodanka
Brunner
Buchbinder
Buchsbaum
Bueno
Bunzel
Cabibbe
Cademann
Cadorini
Caffaz
Cagli
Caimi
Caimmi
Caivano
Calabi
Calabresi
Calderoni
Calef
Caleff
Calfon
Calimani
Calò
Calvo
Camaioli
Camerini
Camerino
Camhi
Camis
Camis de Fonseca
Cammeo
Campagnano
Campos
Canarutto
Cannaruto
Cantoni
Capato
Capua
Carasso
Carrara
Carcsson
Cardoso
Carijo Carlì
Carmona
Caro
Carpanetti
Carpi
Carsen
Carruba
Casanova
Cases
Cases Pellegrini
Cascinelli
Cassin
Cassato
Castelbolognesi
Castelletti
Castelli
Castelfranchi
Castelfranco
Castelnuovo Tedesco
Castiglioni
Castro
Cattelani
Cava
Cave Bondì
Cavaglieri
Cavaglione
Cavalieri
Caviglia
Cendraissousa
Cervetti
Cesana
Cevidalli
Clerido
Clava
Clerle
Cludnevitz
Chajes
Chapira
Chimichì
Ciaroff
Cingoli
Citone
Citone in Alvarenga
Citoni
Cividalli
Civita
Coen
Coen Cantarini
Coen Gialli
Coenca
Cogoi
Cohen
Coifmann
Colasanti
Colia
Colombo
Colonna
Colorni
Confino
Conforte
Conforti
Confort
Conigliani
Consarelli
Consigli
Consiglio
Consolo
Contini
Corcos
Cori
Corinaldi
Coscas Majon
Costa
Costantini
Cotton
Covo
Cramer
Cratz
Crema
Cremisi
Creo
Croccolo
Curiat
Curiel
Cusin
Cutti
Cuzzeri
Cuzzi
Czachi
Czatkis
Czimmer
Dadone
Da Fano
D’Agata
Daldon
Dalla Torre
D’Ancona
Daniel
Danitti
Dann
Da Zara
De Abravanel
De Alvarez
De Angelis
Deangelis
De Benedetti
De Castro
De Cori
De Farro
De Frigessy
De Funel
De Leon
Della Riccia
Dell’Ariccia
Della Rocca
Della Seta
Della Torre
Della Volta
Dello Strologo
Del Mar
Del Monte
Del Sole
De Luisa
Del Valle
Del Valle de Paz
Del Vecchio
Demajo
De Medina
De Montel
De Nola
Depace
Depangher
De Paz
De Rossi
De Semo
De Sousa
Dessau
Deutsch
Diamant
Diaz
Di Capua
Di Castro
Di Cave
Dickmann
Di Cori
Diena
Dienstfertig
Di Gioacchino
Di Laudario
Dina
Di Nepi
Dinkelspiel
Di Nola
Di Porto
Di Segni
D’Italia
Di Tivoli
Ditz
Di Veroli
Dolfo
Donati
Donner
Doerfles
Dorn
Dowek
Dragoner
Dresner
Dreyfus
Drucker
Dubinsky
Durante
Duranti
D’Urbino
Eckert
Edward
Eibenschietz
Effendi
Efrati
Ehrenfeld
Ehrenfreund
Ehrenteil
Ehrlich
Eisenstaedter
Elfer
Elia
Elias
Eliazon
Eliezer
Elseo
Eltbogen
Emdin
Eminente
Engel
Enriquez
Eppinger
Epstein
Erber
Ergas
Errera
Esdra
Esquenasi
Essinger
Ettinger
Evangelisti
Falcini Servi
Falco
Faldini
Faldino
Falk
Fano
Faraggi
Farber
Farchi
Fargion
Farinelli
Farkas
Fasano
Fassel
Fasulo
Fatucci
Fein
Feiner
Feistmann
Felberbaum
Felici
Felner
Fernandes
Ferrarese
Ferro
Ferusciany
Fiandra
Fiano
